STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
JA000047759,"KYOTO, JA",35.017,135.733,46,2/10/1970,,,40,",,I",28,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/11/1970,,,44,",,I",30,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/12/1970,,,53,",,I",30,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/13/1970,,,59,",,I",31,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/14/1970,,,59,",,I",39,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/15/1970,,,49,",,I",35,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/16/1970,,,49,",,I",28,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/17/1970,,,53,",,I",30,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/18/1970,,,59,",,I",31,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/19/1970,,,66,",,I",37,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/20/1970,,,68,",,I",39,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/21/1970,,,57,",,I",41,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/22/1970,,,52,",,I",38,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/23/1970,,,47,",,I",35,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/24/1970,,,47,",,I",31,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/25/1970,,,67,",,I",42,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/26/1970,,,46,",,I",38,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/27/1970,,,46,",,I",40,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,2/28/1970,,,48,",,I",36,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/1/1970,,,44,",,I",31,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/2/1970,,,42,",,I",30,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/3/1970,,,42,",,I",33,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/4/1970,,,47,",,I",36,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/5/1970,,,41,",,I",31,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/6/1970,,,44,",,I",31,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/7/1970,,,45,",,I",33,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/8/1970,,,49,",,I",33,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/9/1970,,,60,",,I",30,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/10/1970,,,50,",,I",41,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/11/1970,,,50,",,I",36,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/12/1970,,,45,",,I",33,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/13/1970,,,42,",,I",31,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/14/1970,,,48,",,I",31,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/15/1970,,,52,",,I",32,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/16/1970,,,57,",,I",40,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/17/1970,,,45,",,I",34,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/18/1970,,,50,",,I",33,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/19/1970,,,43,",,I",33,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/20/1970,,,44,",,I",30,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/21/1970,,,48,",,I",30,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/22/1970,,,43,",,I",34,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/23/1970,,,45,",,I",30,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/24/1970,,,52,",,I",30,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/25/1970,,,54,",,I",31,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/26/1970,,,54,",,I",33,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/27/1970,,,63,",,I",31,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/28/1970,,,72,",,I",45,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/29/1970,,,71,",,I",38,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/30/1970,,,60,",,I",42,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,3/31/1970,,,62,",,I",35,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/1/1970,,,60,",,I",39,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/2/1970,,,63,",,I",39,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/3/1970,,,51,",,I",46,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/4/1970,,,54,",,I",46,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/5/1970,,,56,",,I",40,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/6/1970,,,67,",,I",35,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/7/1970,,,64,",,I",48,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/8/1970,,,68,",,I",39,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/9/1970,,,62,",,I",48,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/10/1970,,,65,",,I",48,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/11/1970,,,59,",,I",52,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/12/1970,,,65,",,I",44,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/13/1970,,,54,",,I",42,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/14/1970,,,61,",,I",37,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/15/1970,,,69,",,I",39,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/16/1970,,,74,",,I",48,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/17/1970,,,70,",,I",55,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/18/1970,,,67,",,I",58,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/19/1970,,,67,",,I",56,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/20/1970,,,63,",,I",55,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/21/1970,,,68,",,I",52,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/22/1970,,,67,",,I",48,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/23/1970,,,70,",,I",44,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/24/1970,,,69,",,I",55,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/25/1970,,,61,",,I",54,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/26/1970,,,69,",,I",58,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/27/1970,,,72,",,I",50,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/28/1970,,,69,",,I",51,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/29/1970,,,63,",,I",53,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,4/30/1970,,,74,",,I",52,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/1/1970,,,78,",,I",46,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/2/1970,,,75,",,I",57,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/3/1970,,,68,",,I",57,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/4/1970,,,71,",,I",58,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/5/1970,,,71,",,I",62,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/6/1970,,,65,",,I",60,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/7/1970,,,63,",,I",60,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/8/1970,,,71,",,I",61,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/9/1970,,,80,",,I",59,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/10/1970,,,80,",,I",65,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/11/1970,,,71,",,I",58,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/12/1970,,,75,",,I",51,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/13/1970,,,76,",,I",52,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/14/1970,,,82,",,I",49,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/15/1970,,,77,",,I",51,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/16/1970,,,76,",,I",57,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/17/1970,,,75,",,I",56,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/18/1970,,,84,",,I",50,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/19/1970,,,83,",,I",57,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/20/1970,,,67,",,I",61,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/21/1970,,,77,",,I",56,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/22/1970,,,82,",,I",53,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/23/1970,,,79,",,I",57,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/24/1970,,,81,",,I",61,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/25/1970,,,75,",,I",65,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/26/1970,,,83,",,I",66,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/27/1970,,,86,",,I",61,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/28/1970,,,82,",,I",61,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/29/1970,,,80,",,I",58,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/30/1970,,,82,",,I",54,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,5/31/1970,,,81,",,I",62,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/1/1970,,,72,",,I",61,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/2/1970,,,78,",,I",56,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/3/1970,,,77,",,I",56,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/4/1970,,,78,",,I",63,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/5/1970,,,74,",,I",62,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/6/1970,,,81,",,I",57,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/7/1970,,,86,",,I",56,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/8/1970,,,89,",,I",60,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/9/1970,,,85,",,I",60,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/10/1970,,,72,",,I",66,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/11/1970,,,68,",,I",63,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/12/1970,,,74,",,I",64,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/13/1970,,,85,",,I",69,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/14/1970,,,78,",,I",68,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/15/1970,,,77,",,I",66,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/16/1970,,,67,",,I",63,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/17/1970,,,72,",,I",61,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/18/1970,,,77,",,I",66,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/19/1970,,,72,",,I",65,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/20/1970,,,77,",,I",64,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/21/1970,,,73,",,I",65,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/22/1970,,,70,",,I",63,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/23/1970,,,75,",,I",63,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/24/1970,,,76,",,I",66,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/25/1970,,,71,",,I",66,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/26/1970,,,77,",,I",66,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/27/1970,,,82,",,I",67,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/28/1970,,,90,",,I",66,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/29/1970,,,87,",,I",61,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,6/30/1970,,,73,",,I",70,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/1/1970,,,80,",,I",67,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/2/1970,,,86,",,I",69,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/3/1970,,,88,",,I",69,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/4/1970,,,80,",,I",72,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/5/1970,,,79,",,I",73,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/6/1970,,,76,",,I",68,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/7/1970,,,88,",,I",65,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/8/1970,,,74,",,I",69,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/9/1970,,,83,",,I",71,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/10/1970,,,83,",,I",70,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/11/1970,,,80,",,I",72,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/12/1970,,,82,",,I",73,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/13/1970,,,81,",,I",72,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/14/1970,,,90,",,I",73,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/15/1970,,,90,",,I",76,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/16/1970,,,88,",,I",74,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/17/1970,,,87,",,I",73,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/18/1970,,,95,",,I",75,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/19/1970,,,90,",,I",77,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/20/1970,,,94,",,I",72,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/21/1970,,,95,",,I",76,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/22/1970,,,93,",,I",70,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/23/1970,,,98,",,I",75,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/24/1970,,,96,",,I",79,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/25/1970,,,96,",,I",77,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/26/1970,,,95,",,I",75,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/27/1970,,,96,",,I",76,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/28/1970,,,95,",,I",77,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/29/1970,,,96,",,I",79,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/30/1970,,,87,",,I",78,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,7/31/1970,,,87,",,I",75,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/1/1970,,,88,",,I",76,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/2/1970,,,93,",,I",77,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/3/1970,,,91,",,I",76,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/4/1970,,,93,",,I",77,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/5/1970,,,96,",,I",79,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/6/1970,,,97,",,I",77,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/7/1970,,,85,",,I",77,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/8/1970,,,90,",,I",73,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/9/1970,,,92,",,I",77,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/10/1970,,,93,",,I",75,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/11/1970,,,94,",,I",73,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/12/1970,,,91,",,I",72,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/13/1970,,,90,",,I",70,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/14/1970,,,82,",,I",74,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/15/1970,,,86,",,I",76,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/16/1970,,,92,",,I",74,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/17/1970,,,92,",,I",73,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/18/1970,,,81,",,I",74,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/19/1970,,,90,",,I",74,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/20/1970,,,90,",,I",78,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/21/1970,,,87,",,I",78,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/22/1970,,,93,",,I",76,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/23/1970,,,93,",,I",75,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/24/1970,,,90,",,I",74,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/25/1970,,,94,",,I",71,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/26/1970,,,92,",,I",73,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/27/1970,,,91,",,I",74,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/28/1970,,,94,",,I",74,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/29/1970,,,96,",,I",74,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/30/1970,,,93,",,I",76,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,8/31/1970,,,86,",,I",77,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/1/1970,,,91,",,I",75,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/2/1970,,,94,",,I",76,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/3/1970,,,90,",,I",77,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/4/1970,,,91,",,I",72,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/5/1970,,,89,",,I",76,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/6/1970,,,93,",,I",74,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/7/1970,,,91,",,I",75,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/8/1970,,,92,",,I",75,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/9/1970,,,93,",,I",73,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/10/1970,,,91,",,I",74,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/11/1970,,,89,",,I",74,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/12/1970,,,89,",,I",73,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/13/1970,,,88,",,I",71,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/14/1970,,,86,",,I",69,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/15/1970,,,85,",,I",71,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/16/1970,,,86,",,I",72,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/17/1970,,,92,",,I",71,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/18/1970,,,79,",,I",71,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/19/1970,,,79,",,I",70,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/20/1970,,,82,",,I",65,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/21/1970,,,85,",,I",72,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/22/1970,,,84,",,I",70,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/23/1970,,,71,",,I",68,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/24/1970,,,85,",,I",67,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/25/1970,,,74,",,I",65,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/26/1970,,,76,",,I",63,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/27/1970,,,74,",,I",59,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/28/1970,,,72,",,I",64,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/29/1970,,,81,",,I",65,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,9/30/1970,,,69,",,I",61,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,10/1/1970,,,74,",,I",59,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,10/2/1970,,,73,",,I",56,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,10/3/1970,,,71,",,I",57,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,10/4/1970,,,67,",,I",60,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,10/5/1970,,,74,",,I",59,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,10/6/1970,,,79,",,I",54,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,10/7/1970,,,80,",,I",54,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,10/8/1970,,,82,",,I",59,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,10/9/1970,,,83,",,I",63,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,10/10/1970,,,80,",,I",66,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,10/11/1970,,,71,",,I",65,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,10/12/1970,,,76,",,I",66,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,10/13/1970,,,74,",,I",66,",,I"
JA000047759,"KYOTO, JA",35.017,135.733,46,10/14/1970,,,76,",,I",60,",,I"
